year,load_kg_yr,load_g_m3,lake
1995,14073.88525913763,0.027869079721064616,mendota
1996,27170.10159120393,0.05380218136872065,mendota
1997,43085.64227395198,0.08531810351277619,mendota
1998,20258.209641570884,0.040115266616972046,mendota
1999,17893.615022089976,0.035432901033841536,mendota
2000,35082.398962179424,0.06947009695481074,mendota
2001,21622.39883970934,0.042816631365761075,mendota
2002,12254.966325262405,0.024267260050024563,mendota
2003,9981.317655650408,0.01976498545673348,mendota
2004,32535.912452032557,0.06442754940996546,mendota
2005,29807.534046683784,0.05902481989442333,mendota
2006,13073.479846867036,0.0258880789046872,mendota
2007,31353.61514456006,0.0620863666228912,mendota
2008,55454.291034282556,0.10981047729560903,mendota
2009,61911.45326632255,0.12259693716103474,mendota
2010,25260.23671199572,0.05002027071682321,mendota
2011,22804.69614718183,0.045157814152835304,mendota
2012,11800.236589525633,0.02336680512777353,mendota
2013,36344.45391949633,0.07196921568217095,mendota
2014,29904.169426023534,0.05921617708123472,mendota
2015,16680.892852282937,0.03303147099461968,mendota
2016,21092.419840342238,0.0417671680006777,mendota
2017,25166.146546797183,0.049833953558014225,mendota
2018,57979.356986691586,0.11481060789443878,mendota
2019,71084.75383512805,0.1407618887824318,mendota
2020,24654.08459423487,0.0488199694935344,mendota
2021,9465.213959775381,0.01874299794014927,mendota
2022,16886.53627581878,0.033438685694690655,mendota
1995,10743.03406,0.097663946,monona
1996,13436.53251,0.12215029554545455,monona
1997,12662.5387,0.11511398818181817,monona
1998,12445.82043,0.11314382209090909,monona
1999,12755.41796,0.1159583450909091,monona
2000,12786.37771,0.11623979736363638,monona
2001,13715.17028,0.12468336618181819,monona
2002,11083.59133,0.10075992118181819,monona
2003,8451.8849258768,0.07683531750797092,monona
2004,7990.121719490776,0.07263747017718887,monona
2005,7570.512931517708,0.06882284483197916,monona
2006,9008.571472690102,0.08189610429718275,monona
2007,12309.963085405281,0.11190875532186619,monona
2008,18743.92839938431,0.1703993490853119,monona
2009,22625.985445429906,0.2056907767766355,monona
2010,10487.496412968594,0.09534087648153268,monona
2011,8252.450469748084,0.07502227699770986,monona
2012,3324.0331823749684,0.030218483476136076,monona
2013,7550.160443391741,0.06863782221265219,monona
2014,6809.411816494637,0.06190374378631487,monona
2015,6579.435589778716,0.05981305081617015,monona
2016,6805.130014161211,0.06186481831055646,monona
2017,11981.708868359008,0.10892462607599099,monona
2018,17947.187577889214,0.16315625070808376,monona
2019,31662.29082323941,0.28783900748399466,monona
2020,15163.680168947652,0.13785163789952412,monona
2021,8963.916837795796,0.08149015307087087,monona
